Date,close
2022/7/1,3387.6373
2022/7/4,3405.4267
2022/7/5,3404.0252
2022/7/6,3355.3497
2022/7/7,3364.398
2022/7/8,3356.0778
2022/7/11,3313.584
2022/7/12,3281.4665
2022/7/13,3284.2918
2022/7/14,3281.744
2022/7/15,3228.0609
2022/7/18,3278.1033
2022/7/19,3279.4313
2022/7/20,3304.7243
2022/7/21,3272.0012
2022/7/22,3269.9739
2022/7/25,3250.388
2022/7/26,3277.4356
2022/7/27,3275.7553
2022/7/28,3282.5758
2022/7/29,3253.2382
2022/8/1,3259.9585
2022/8/2,3186.2664
2022/8/3,3163.6741
2022/8/4,3189.0391
2022/8/5,3227.0267
2022/8/8,3236.9337
2022/8/9,3247.4318
2022/8/10,3230.02
2022/8/11,3281.6654
2022/8/12,3276.8877
2022/8/15,3276.087
2022/8/16,3277.8847
2022/8/17,3292.526
2022/8/18,3277.5438
2022/8/19,3258.0784
2022/8/22,3277.7943
2022/8/23,3276.2234
2022/8/24,3215.2033
2022/8/25,3246.2481
2022/8/26,3236.2226
2022/8/29,3240.7275
2022/8/30,3227.2203
2022/8/31,3202.1378
2022/9/1,3184.9797
2022/9/2,3186.4781
2022/9/5,3199.9118
2022/9/6,3243.4466
2022/9/7,3246.2943
2022/9/8,3235.5862
2022/9/9,3262.0542
2022/9/13,3263.7972
2022/9/14,3237.5419
2022/9/15,3199.9187
2022/9/16,3126.3977
2022/9/19,3115.6019
2022/9/20,3122.4058
2022/9/21,3117.1774
2022/9/22,3108.9096
2022/9/23,3088.3695
2022/9/26,3051.226
2022/9/27,3093.8618
2022/9/28,3045.0668
2022/9/29,3041.2046
2022/9/30,3024.3905
2022/10/10,2974.1454
2022/10/11,2979.7926
2022/10/12,3025.5055
2022/10/13,3016.3561
2022/10/14,3071.9868
2022/10/17,3084.9423
2022/10/18,3080.9574
2022/10/19,3044.3777
2022/10/20,3035.0504
2022/10/21,3038.9291
2022/10/24,2977.5554
2022/10/25,2976.283
2022/10/26,2999.5036
2022/10/27,2982.9029
2022/10/28,2915.9257
2022/10/31,2893.4829
2022/11/1,2969.1995
2022/11/2,3003.3699
2022/11/3,2997.8057
2022/11/4,3070.7964
2022/11/7,3077.817
2022/11/8,3064.4928
2022/11/9,3048.1676
2022/11/10,3036.1318
2022/11/11,3087.2926
2022/11/14,3083.4013
2022/11/15,3134.0778
2022/11/16,3119.9804
2022/11/17,3115.4347
2022/11/18,3097.2432
2022/11/21,3085.0444
2022/11/22,3088.9426
2022/11/23,3096.9073
2022/11/24,3089.3096
2022/11/25,3101.6932
2022/11/28,3078.5485
2022/11/29,3149.7478
2022/11/30,3151.3353
2022/12/1,3165.4711
2022/12/2,3156.1442
2022/12/5,3211.8144
2022/12/6,3212.5334
2022/12/7,3199.6194
2022/12/8,3197.3499
2022/12/9,3206.9502
2022/12/12,3179.0417
2022/12/13,3176.3255
2022/12/14,3176.5253
2022/12/15,3168.6478
2022/12/16,3167.8576
2022/12/19,3107.115
2022/12/20,3073.7659
2022/12/21,3068.4105
2022/12/22,3054.4313
2022/12/23,3045.8664
2022/12/26,3065.5626
2022/12/27,3095.5678
2022/12/28,3087.3997
2022/12/29,3073.7016
2022/12/30,3089.2579
2023/1/3,3116.5119
2023/1/4,3123.5164
2023/1/5,3155.2162
2023/1/6,3157.6365
2023/1/9,3176.0845
2023/1/10,3169.5072
2023/1/11,3161.8376
2023/1/12,3163.4509
2023/1/13,3195.3059
2023/1/16,3227.5916
2023/1/17,3224.2448
2023/1/18,3224.406
2023/1/19,3240.2794
2023/1/20,3264.8138
2023/1/30,3269.318
2023/1/31,3255.6692
